ID,Age,Gender,Education,Country,Ethics,Neuroticism,Extraversion,Cannabis_Consumption,Ecstasy_Consumption,Alcohol_Consumption,Cocaine_Consumption
72,45.0,M,,0.25,-0.32,-0.47,1.11,Used Last Year,Never Used,Never Used,CL0
73,52.0,F,,0.96,-0.32,-1.55,0.96,Used Last Month,Used >10 Years,Used >10 Years,CL0
74,54.0,F,Professional Cert.,0.96,-0.32,-0.68,-0.58,Used Last Month,Never Used,Never Used,CL0
76,33.0,F,University Degree,0.96,-0.32,-0.15,0.17,Used Last Year,Never Used,Never Used,CL0
77,47.0,M,,0.25,-0.32,-0.35,-0.7,Used 1-2 Years,Never Used,Never Used,CL0
78,39.0,F,University Degree,0.96,-0.32,0.14,-1.63,Used 2-5 Years,Used >10 Years,Never Used,CL0
79,40.0,F,Some College,0.96,-0.32,-0.79,-0.81,Used Last Month,Never Used,Used >10 Years,CL0
80,39.0,F,Professional Cert.,0.96,-0.32,-0.35,-0.81,Used Last Year,Never Used,Never Used,CL0
82,64.0,M,University Degree,0.96,-0.32,-0.79,-1.23,Used Last Year,Used >10 Years,Used >10 Years,CL1
83,55.0,F,Master’s Degree,0.25,-0.32,-2.05,1.45,Used Last Year,Never Used,Never Used,CL0
84,60.0,M,,0.96,-0.22,1.02,-0.95,Used 2-5 Years,Never Used,Never Used,CL5
85,49.0,F,,0.96,-0.32,-0.35,0.17,Used Last Year,Never Used,Never Used,CL0
86,26.0,M,,0.96,-0.32,-0.47,0.0,Used 2-5 Years,Never Used,Used >10 Years,CL0
87,39.0,F,Some College,0.96,-0.32,0.74,-0.15,Used Last Year,Never Used,Used >10 Years,CL0
88,62.0,F,,0.96,-0.32,-0.92,0.17,Used Last Year,Never Used,Never Used,CL0
89,38.0,M,Some College,0.96,-0.32,0.31,-1.92,Used 2-5 Years,Never Used,Used >10 Years,CL1
90,39.0,M,Master’s Degree,0.96,-0.32,0.91,-0.58,Used Last Year,Used >10 Years,Used >10 Years,CL2
91,36.0,M,Master’s Degree,0.96,-0.32,1.37,0.32,Used Last Month,Never Used,Never Used,CL0
92,36.0,F,Professional Cert.,0.25,-0.32,0.42,-0.44,Used 5-10 Years,Never Used,Never Used,CL3
93,34.0,F,,0.96,-0.32,-1.55,-0.3,Used 1-2 Years,Never Used,Never Used,CL0
95,46.0,F,Master’s Degree,0.96,-0.32,-0.68,-0.58,Used Last Year,Never Used,Never Used,CL3
96,48.0,F,Master’s Degree,0.96,-0.32,-0.47,0.32,Used Last Month,Used >10 Years,Used >10 Years,CL1
97,40.0,M,University Degree,0.25,-0.32,0.14,-1.09,Used 1-2 Years,Used >10 Years,Never Used,CL0
98,53.0,M,Master’s Degree,0.96,-0.32,-0.47,0.64,Used Last Year,Used >10 Years,Never Used,CL1
99,42.0,F,Doctorate Degree,0.25,-0.32,-1.19,-0.44,Used 1-2 Years,Used >10 Years,Never Used,CL0
100,32.0,M,University Degree,0.96,-0.32,-0.68,3.01,Used Last Month,Used 5-10 Years,Never Used,CL3
101,29.0,F,Master’s Degree,-0.29,-0.32,-1.05,2.57,Used Last Month,Used 2-5 Years,Used 2-5 Years,CL4
102,50.0,M,,-0.1,-0.32,-0.58,0.48,Used 1-2 Years,Never Used,Never Used,CL0
103,51.0,F,,0.96,-0.32,-0.58,1.29,Used Last Month,Used >10 Years,Used 2-5 Years,CL4
104,49.0,M,Professional Cert.,0.25,-0.32,0.04,0.64,Used 1-2 Years,Never Used,Never Used,CL0
105,34.0,M,Some College,0.25,-0.32,-0.92,0.17,Used Last Year,Never Used,Never Used,CL0
106,39.0,F,Professional Cert.,0.96,-0.32,-2.22,0.48,Used 2-5 Years,Never Used,Never Used,CL0
107,28.0,M,Some College,0.96,-0.32,1.02,-0.3,Used 1-2 Years,Never Used,Never Used,CL0
108,40.0,M,,0.96,-0.32,0.14,0.0,Used Last Year,Used 2-5 Years,Never Used,CL0
109,25.0,M,,0.96,-0.32,-0.47,2.13,Used Last Year,Never Used,Never Used,CL3
110,46.0,M,,0.96,-0.32,-0.79,0.48,Used Last Year,Used >10 Years,Never Used,CL0
112,28.0,F,Master’s Degree,0.96,32,0.31,-1.09,Used Last Month,Used >10 Years,Never Used,CL0
113,28.0,M,University Degree,0.96,32,-1.19,0.32,Used 2-5 Years,Never Used,Never Used,CL0
114,45.0,M,Professional Cert.,0.96,-0.32,0.04,0.64,Used 1-2 Years,Never Used,Never Used,CL1
115,40.0,F,Some College,0.96,-0.32,-2.34,1.94,Used 1-2 Years,Used >10 Years,Used >10 Years,CL2
116,30.0,M,Professional Cert.,0.25,-0.32,0.22,-0.58,Used Last Year,Used >10 Years,Used 5-10 Years,CL0
117,44.0,F,Professional Cert.,0.25,-0.32,0.63,-0.58,Used 1-2 Years,Never Used,Never Used,CL0
118,25.0,M,University Degree,0.96,-0.32,1.6,0.81,Used Last Year,Used >10 Years,Used >10 Years,CL3
119,41.0,M,Some College,-0.57,-0.32,1.84,-1.92,Used Last Year,Never Used,Never Used,CL6
120,36.0,M,University Degree,0.96,-0.32,-0.35,0.64,Used Last Year,Never Used,Never Used,CL0
121,31.0,M,Master’s Degree,0.96,-0.32,-1.05,0.64,Used Last Month,Used >10 Years,Never Used,CL0
122,44.0,M,Professional Cert.,0.96,-0.32,1.49,-1.23,Used 5-10 Years,Never Used,Never Used,CL0
123,55.0,F,Master’s Degree,0.96,-0.32,0.22,0.17,Used Last Month,Never Used,Never Used,CL0
124,25.0,M,University Degree,0.96,-0.32,0.22,-0.7,Used Last Year,Used >10 Years,Never Used,CL0
125,54.0,F,,0.96,-0.32,-0.35,1.94,Used 2-5 Years,Never Used,Never Used,CL0
126,56.0,F,University Degree,0.96,-0.32,-0.47,1.29,Used Last Month,Never Used,Never Used,CL0
127,52.0,F,University Degree,0.96,-0.32,-1.19,0.64,Used Last Year,Used >10 Years,Used >10 Years,CL0
128,50.0,M,,0.96,-0.32,-0.35,-0.81,Used Last Year,Never Used,Never Used,CL0
129,35.0,F,Doctorate Degree,0.96,-0.5,0.04,0.64,Never Used,Never Used,Never Used,CL2
130,54.0,M,Master’s Degree,0.96,-0.32,-0.79,0.96,Used Last Month,Never Used,Never Used,CL0
131,48.0,M,,0.96,-0.32,0.91,0.32,Used Last Year,Never Used,Never Used,CL0
132,49.0,M,,0.96,0.11,-1.55,-0.15,Used 1-2 Years,Never Used,Never Used,CL2
133,42.0,M,,0.21,-0.32,-0.25,-0.58,Used 1-2 Years,Never Used,Never Used,CL0
134,43.0,F,Master’s Degree,0.96,-0.32,-0.05,0.17,Used Last Year,Never Used,Never Used,CL1
135,32.0,M,Master’s Degree,0.96,0.13,3.27,-1.51,Used Last Month,Used >10 Years,Never Used,CL0
136,37.0,M,,0.96,-0.32,-1.69,1.58,Used >10 Years,Never Used,Never Used,CL0
137,45.0,M,University Degree,0.96,-0.32,-0.15,-0.3,Used Last Year,Never Used,Never Used,CL0
138,50.0,M,University Degree,0.96,-0.32,-1.19,1.58,Used 1-2 Years,Never Used,Never Used,CL0
139,56.0,F,University Degree,0.96,-0.32,-0.47,-0.81,Used Last Month,Never Used,Never Used,CL4
140,52.0,F,,0.96,-0.32,-0.05,0.32,Used Last Month,Never Used,Never Used,CL0
141,32.0,M,University Degree,0.96,-0.5,1.98,0.32,Used Last Year,Never Used,Never Used,CL2
142,37.0,M,,0.96,-0.32,-0.79,0.64,Used Last Year,Never Used,Never Used,CL0
143,39.0,F,,0.96,-0.32,-0.47,-0.3,Used Last Month,Never Used,Never Used,CL0
144,41.0,F,Professional Cert.,0.96,-1.11,-1.69,1.29,Used >10 Years,Never Used,Never Used,CL0
145,46.0,F,Professional Cert.,0.25,-0.32,0.14,-1.09,Used Last Month,Never Used,Never Used,CL0
146,49.0,M,University Degree,0.96,-0.32,-0.47,0.17,Used 1-2 Years,Never Used,Never Used,CL1
147,55.0,F,Professional Cert.,0.96,-0.32,0.22,-1.23,Used Last Month,Never Used,Never Used,CL1
148,38.0,F,Master’s Degree,0.96,-1.11,-0.58,0.48,Used 1-2 Years,Never Used,Never Used,CL0
149,38.0,M,Professional Cert.,0.96,-0.32,-0.05,-1.09,Used 1-2 Years,Never Used,Never Used,CL0
150,51.0,M,University Degree,0.96,-0.32,-0.79,1.94,Used 1-2 Years,Never Used,Never Used,CL0
151,41.0,M,Some College,0.96,-0.32,-0.25,1.29,Used Last Year,Never Used,Never Used,CL0
152,41.0,M,University Degree,0.96,-0.32,0.52,-1.63,Used Last Year,Never Used,Never Used,CL0
153,28.0,M,University Degree,0.96,-0.32,-0.47,-1.51,Used Last Year,Never Used,Used >10 Years,CL2
154,33.0,F,University Degree,0.96,-0.32,-0.68,0.96,Used Last Month,Never Used,Used >10 Years,CL0
155,23.0,M,Some College,0.96,-0.32,2.82,-1.38,Used Last Year,Never Used,Never Used,CL5
156,43.0,M,University Degree,0.96,-1.11,0.63,-1.38,Used Last Year,Never Used,Never Used,CL0
157,36.0,M,Some College,0.96,-0.32,1.23,0.0,Used Last Year,Used 5-10 Years,Used >10 Years,CL1
158,27.0,F,,0.96,-0.32,-1.05,1.11,Used Last Month,Never Used,Never Used,CL0
159,43.0,M,University Degree,-0.1,-0.32,-0.25,0.17,Used 2-5 Years,Never Used,Never Used,CL0
160,50.0,M,Some College,0.96,-1.11,-0.47,-0.58,Used 1-2 Years,Never Used,Never Used,CL0
161,48.0,F,Master’s Degree,-0.29,-0.32,1.02,0.81,Used Last Year,Used >10 Years,Used >10 Years,CL1
162,43.0,F,University Degree,0.96,-1.11,-0.68,0.32,Used Last Year,Never Used,Never Used,CL0
163,30.0,M,University Degree,-0.47,-0.32,0.22,0.0,Used 2-5 Years,Never Used,Never Used,CL0
164,30.0,M,Some College,0.96,-0.32,1.84,0.0,Used 1-2 Years,Never Used,Never Used,CL0
165,34.0,M,Doctorate Degree,0.96,-0.32,0.14,0.32,Used 2-5 Years,Used >10 Years,Never Used,CL0
166,51.0,F,Master’s Degree,0.96,-0.32,-0.25,-0.3,Used Last Month,Never Used,Never Used,CL0
167,19.0,F,Some College,0.96,-0.32,1.49,-1.23,Used Last Year,Never Used,Never Used,CL0
168,26.0,M,Professional Cert.,0.96,-1.11,0.04,0.0,Used 5-10 Years,Never Used,Never Used,CL0
169,29.0,M,University Degree,0.96,-0.32,0.22,1.29,Used Last Year,Never Used,Never Used,CL0
170,23.0,M,,0.96,-0.32,-0.35,0.0,Used Last Year,Never Used,Used 2-5 Years,CL0
171,45.0,F,,0.96,-0.32,1.37,-0.3,Used 5-10 Years,Used >10 Years,Used >10 Years,CL3
172,35.0,F,Master’s Degree,0.96,-0.32,-0.35,0.96,Used Last Month,Never Used,Used >10 Years,CL0
173,50.0,M,Professional Cert.,0.96,-0.32,0.52,-0.58,Used Last Year,Never Used,Never Used,CL0
174,38.0,M,University Degree,0.96,-0.32,1.02,0.64,Used Last Month,Never Used,Never Used,CL0
175,36.0,M,Professional Cert.,0.96,-0.32,1.02,-0.58,Used Last Month,Never Used,Never Used,CL2
176,58.0,M,University Degree,0.96,-0.32,0.63,0.0,Used Last Year,Never Used,Never Used,CL0
177,35.0,M,University Degree,0.96,0.11,-0.15,-0.58,Used 2-5 Years,Never Used,Never Used,CL0
178,37.0,M,University Degree,0.96,-0.32,1.49,0.0,Used Last Year,Never Used,Never Used,CL0
179,49.0,M,University Degree,0.96,-0.32,0.83,-0.95,Used Last Year,Used >10 Years,Never Used,CL0
180,40.0,M,Professional Cert.,0.96,-0.32,0.42,-0.15,Used Last Year,Used >10 Years,Never Used,CL0
181,49.0,M,Professional Cert.,0.96,-0.32,0.31,0.64,Used Last Year,Never Used,Never Used,CL0
182,34.0,F,Doctorate Degree,0.96,-0.32,-1.33,-0.44,Used Last Year,Never Used,Never Used,CL0
183,37.0,M,Some College,0.96,-0.32,0.31,0.81,Used Last Year,Never Used,Never Used,CL0
184,21.0,M,University Degree,0.96,-0.32,1.98,-0.44,Used Last Month,Used 2-5 Years,Never Used,CL0
185,57.0,F,,0.96,-0.32,0.04,-0.81,Used Last Month,Never Used,Never Used,CL0
186,41.0,M,University Degree,0.25,-0.32,0.31,0.64,Used Last Year,Never Used,Never Used,CL0
187,38.0,M,Master’s Degree,0.96,-0.32,-0.68,1.45,Used Last Month,Never Used,Never Used,CL0
188,63.0,M,,0.96,-0.32,-0.79,-0.81,Used 1-2 Years,Never Used,Never Used,CL0
189,49.0,M,,0.96,-0.32,0.42,-1.38,Used 1-2 Years,Never Used,Never Used,CL2
190,18.0,M,Master’s Degree,0.96,-0.32,-0.35,0.0,Used Last Year,Never Used,Never Used,CL0
191,60.0,M,Professional Cert.,0.96,-0.32,-1.44,0.0,Used Last Year,Never Used,Never Used,CL1
192,19.0,F,University Degree,0.96,0.13,-0.35,1.29,Used Last Year,Never Used,Never Used,CL0
193,27.0,M,Professional Cert.,0.25,-0.32,-0.79,-0.3,Used Last Year,Used >10 Years,Never Used,CL1
194,46.0,M,University Degree,0.96,-0.32,0.31,-1.09,Used Last Year,Never Used,Never Used,CL0
195,28.0,M,University Degree,0.25,0.13,-0.92,1.29,Used 2-5 Years,Never Used,Never Used,CL0
196,56.0,M,University Degree,0.96,-0.32,0.63,0.32,Used Last Year,Used >10 Years,Never Used,CL1
197,22.0,F,University Degree,0.96,-1.11,-0.58,0.32,Used 1-2 Years,Never Used,Never Used,CL0
198,60.0,M,University Degree,0.96,-0.32,-0.35,0.48,Used Last Year,Never Used,Never Used,CL0
199,27.0,M,Professional Cert.,0.96,-0.32,-0.05,0.48,Used Last Month,Used Last Year,Used Last Year,CL2
200,54.0,M,Professional Cert.,0.96,-0.32,-0.47,2.32,Used 1-2 Years,Used 1-2 Years,Used >10 Years,CL1
201,22.0,M,University Degree,0.96,-0.32,-0.58,0.17,Used Last Month,Never Used,Never Used,CL0
202,43.0,F,Master’s Degree,0.96,0.11,-0.15,-0.95,Used Last Year,Used 2-5 Years,Used 2-5 Years,CL2
203,40.0,M,University Degree,0.96,-0.32,-0.68,1.29,Used Last Month,Never Used,Never Used,CL3
205,25.0,M,University Degree,0.96,-0.32,-0.15,0.96,Used Last Year,Used 5-10 Years,Used 5-10 Years,CL2
206,38.0,M,,0.96,-0.32,-0.15,1.11,Used Last Year,Never Used,Never Used,CL3
207,20.0,M,University Degree,0.96,-0.32,-0.05,1.29,Used Last Year,Never Used,Never Used,CL0
208,40.0,M,Professional Cert.,0.96,-0.32,-0.68,0.48,Used Last Year,Used >10 Years,Used 1-2 Years,CL1
209,37.0,M,University Degree,0.96,-0.32,0.14,0.0,Used 1-2 Years,Used >10 Years,Used >10 Years,CL0
210,25.0,F,Master’s Degree,0.96,5.00,-1.44,0.48,Never Used,Never Used,Never Used,CL0
211,33.0,M,Some College,0.96,-0.32,0.74,0.17,Used 2-5 Years,Never Used,Never Used,CL0
212,47.0,M,,0.96,-0.32,-0.68,-0.58,Used Last Year,Never Used,Never Used,CL0
213,33.0,M,Professional Cert.,0.96,-0.32,0.14,0.64,Used Last Month,Used >10 Years,Used >10 Years,CL0
214,45.0,M,Professional Cert.,0.21,-0.32,0.52,-0.15,Used Last Year,Never Used,Never Used,CL1
215,28.0,M,Professional Cert.,0.96,-0.32,-0.15,1.11,Used Last Year,Never Used,Never Used,CL0
216,33.0,M,University Degree,0.25,-0.32,1.6,-0.3,Used Last Year,Used 5-10 Years,Never Used,CL0
217,30.0,M,,0.96,-0.32,0.22,1.11,Used Last Year,Used >10 Years,Used >10 Years,CL0
218,44.0,F,,0.96,-0.32,1.23,0.81,Used 5-10 Years,Used >10 Years,Used >10 Years,CL1
219,27.0,M,,-0.29,-0.32,0.31,1.11,Used 1-2 Years,Never Used,Never Used,CL0
220,39.0,M,,0.96,-0.32,-0.35,-0.58,Used Last Month,Used >10 Years,Used >10 Years,CL1
221,20.0,M,University Degree,0.96,-0.32,0.83,-0.3,Used Last Year,Never Used,Used 5-10 Years,CL0
222,30.0,M,University Degree,0.96,-0.32,-0.15,0.48,Used 2-5 Years,Never Used,Never Used,CL0
223,38.0,M,University Degree,0.96,-0.32,-0.25,0.64,Used Last Month,Used 5-10 Years,Never Used,CL0
224,60.0,F,University Degree,0.96,-0.32,-1.19,1.11,Used >10 Years,Never Used,Never Used,CL0
225,46.0,M,University Degree,0.96,-0.32,-0.47,1.45,Used Last Year,Never Used,Never Used,CL0
226,44.0,M,University Degree,0.96,-0.32,-1.33,0.64,Used Last Month,Used >10 Years,Never Used,CL0
227,54.0,M,University Degree,0.96,-0.32,-0.47,0.48,Used Last Year,Never Used,Never Used,CL0
228,20.0,F,Some College,0.96,-0.32,0.22,0.96,Used Last Year,Never Used,Never Used,CL0
229,52.0,F,Master’s Degree,0.96,-0.32,-0.68,0.32,Used Last Month,Used >10 Years,Used >10 Years,CL1
230,53.0,M,University Degree,0.96,-0.32,-1.05,1.45,Used Last Month,Never Used,Never Used,CL0
231,39.0,M,Professional Cert.,0.96,-0.32,1.02,-2.21,Used Last Year,Never Used,Never Used,CL2
233,27.0,M,University Degree,0.96,-0.32,0.04,1.29,Used Last Year,Used >10 Years,Never Used,CL0
234,51.0,F,University Degree,0.96,-0.32,-0.68,0.81,Used Last Month,Never Used,Never Used,CL0
235,34.0,M,University Degree,0.96,-0.32,0.42,0.96,Used 1-2 Years,Never Used,Never Used,CL0
236,30.0,M,Professional Cert.,0.96,-0.32,0.04,0.96,Used Last Year,Never Used,Never Used,CL3
237,26.0,M,Master’s Degree,0.96,-0.32,1.49,0.32,Used Last Month,Never Used,Never Used,CL0
238,25.0,M,,0.96,-0.32,0.91,-0.15,Used Last Year,Used >10 Years,Used >10 Years,CL0
239,21.0,M,,0.96,-0.32,0.52,-0.15,Used 1-2 Years,Never Used,Never Used,CL0
240,50.0,M,Professional Cert.,0.96,-0.32,-1.87,0.64,Used Last Year,Never Used,Never Used,CL0
241,43.0,M,Master’s Degree,0.96,5.00,0.63,-1.23,Used 1-2 Years,Never Used,Never Used,CL0
242,26.0,M,,-0.29,5.00,2.13,-1.23,Used Last Year,Never Used,Never Used,CL0
243,21.0,M,Some College,0.96,-0.32,1.49,-1.51,Used Last Year,Never Used,Never Used,CL0
244,31.0,M,University Degree,0.96,-0.32,-0.58,1.11,Used Last Year,Used 2-5 Years,Used >10 Years,CL2
245,42.0,F,University Degree,0.96,-0.32,1.98,-1.51,Used Last Year,Never Used,Never Used,CL3
246,30.0,M,Some College,0.96,-0.32,-0.25,-0.95,Used Last Year,Used >10 Years,Never Used,CL0
247,33.0,M,Professional Cert.,0.96,-0.32,1.37,-0.7,Used Last Year,Never Used,Never Used,CL2
248,51.0,F,Master’s Degree,0.96,-0.32,-0.92,-0.3,Used Last Month,Never Used,Never Used,CL0
249,52.0,M,Doctorate Degree,0.96,-0.32,-2.42,0.17,Used Last Year,Never Used,Never Used,CL0
250,51.0,M,Professional Cert.,0.96,-0.32,1.13,0.32,Used Last Year,Never Used,Never Used,CL0
252,44.0,M,University Degree,0.96,-0.32,0.63,-0.95,Used 1-2 Years,Never Used,Never Used,CL0
253,19.0,M,Master’s Degree,0.96,-0.32,-1.44,0.96,Used Last Year,Never Used,Never Used,CL0
254,45.0,M,Doctorate Degree,0.96,-0.32,-0.79,0.17,Used Last Month,Never Used,Never Used,CL0
255,34.0,F,Professional Cert.,0.96,-0.32,1.37,-0.7,Used 1-2 Years,Never Used,Never Used,CL0
256,35.0,M,Master’s Degree,0.96,-0.32,-1.19,1.74,Used Last Year,Used >10 Years,Never Used,CL0
257,18.0,M,Some College,0.96,-0.32,-0.47,0.64,Used 1-2 Years,Used 5-10 Years,Never Used,CL0
258,39.0,F,Doctorate Degree,0.96,-0.32,0.04,0.0,Used 1-2 Years,Used >10 Years,Used >10 Years,CL1
261,50.0,M,Professional Cert.,0.96,-0.32,-0.47,0.96,Used Last Year,Never Used,Never Used,CL0
262,64.0,F,University Degree,0.96,-0.32,-0.68,-0.44,Used 5-10 Years,Never Used,Used >10 Years,CL2
